No,kelas,kategori,target_bulan,materi
162,SMP 3,Tulis Huruf Arab,Mei - Juni,K. Sifatil Jannati Wannar
163,SMP 3,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
164,SMP 3,Akhlaq,September - Oktober,Keluarga
165,SMP 3,Mandiri,September - Oktober,Kemandirian dalam keluarga
166,SMP 3,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
167,SMP 3,Mandiri,Juli - Agustus,Kemandirian pribadi
168,SMP 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
169,SMP 3,Mandiri,Januari - Maret,Keterampilan Generus Putra
170,SMP 3,Mandiri,April - Juni,Keterampilan Generus Putri
171,SMP 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
172,SMP 3,Tulis Huruf Arab,Juli - Agustus,Makna Juz 27
173,SMP 3,Tulis Huruf Arab,September - Oktober,Makna Juz 28
174,SMP 3,Materi Dasar Keagamaan,Desember,mandi junub
175,SMP 3,Akhlaq,Januari - Maret,Masyarakat
176,SMP 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
177,SMP 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
178,SMP 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
179,SMP 3,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah
180,SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
181,SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
182,SMP 3,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
183,SMP 3,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
184,SMP 3,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
185,SMP 3,Praktik Ibadah,Juli - September,Praktik sholat tasbih
186,SMP 3,Akhlaq,Juli - Agustus,Pribadi
187,SMP 3,Materi Dasar Keagamaan,Februari,Puasa Romadhon
188,SMP 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
189,SMP 3,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
190,SMP 3,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Abasa
191,SMP 3,Hafalan Surat Al Qur'an,Januari - Februari,Surat An Naba'
192,SMP 3,Hafalan Surat Al Qur'an,September - Oktober,Surat An Naziat
193,SMP 3,Hafalan Surat Al Qur'an,Maret - April,Surat Shof ayat 10-13
194,SMP 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
195,SMP 3,Adab/ Tatakrama,Oktober,Tata krama berpakaian
196,SMP 3,Adab/ Tatakrama,April,Tata krama bersepeda
197,SMP 3,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
198,SMP 3,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
